Phase,Order,Title,Artist
Phase 1 — Arrivals & Cocktails,1,Three Little Birds,Bob Marley & The Wailers
Phase 1 — Arrivals & Cocktails,2,Is This Love,Bob Marley & The Wailers
Phase 1 — Arrivals & Cocktails,3,Lovely Day,Bill Withers
Phase 1 — Arrivals & Cocktails,4,Stir It Up,Bob Marley & The Wailers
Phase 1 — Arrivals & Cocktails,5,Sunday Morning,Maroon 5
Phase 1 — Arrivals & Cocktails,6,Put Your Records On,Corinne Bailey Rae
Phase 1 — Arrivals & Cocktails,7,Better Together,Jack Johnson
Phase 1 — Arrivals & Cocktails,8,Sitting on the Dock of the Bay,Otis Redding
Phase 1 — Arrivals & Cocktails,9,Golden,Harry Styles
Phase 1 — Arrivals & Cocktails,10,Electric Feel,MGMT
Phase 1 — Arrivals & Cocktails,11,Ho Hey,The Lumineers
Phase 1 — Arrivals & Cocktails,12,Redbone,Childish Gambino
Phase 1 — Arrivals & Cocktails,13,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell
Phase 1 — Arrivals & Cocktails,14,Pressure Drop,Toots & The Maytals
Phase 1 — Arrivals & Cocktails,15,Feel It Still,Portugal. The Man
Phase 1 — Arrivals & Cocktails,16,Home,Edward Sharpe & The Magnetic Zeros
Phase 2 — Dinner,17,Harvest Moon,Neil Young
Phase 2 — Dinner,18,Coffee,Sylvan Esso
Phase 2 — Dinner,19,Best Part,Daniel Caesar feat. H.E.R.
Phase 2 — Dinner,20,Slow Dancing in a Burning Room,John Mayer
Phase 2 — Dinner,21,Adorn,Miguel
Phase 2 — Dinner,22,The Night We Met,Lord Huron
Phase 2 — Dinner,23,Waiting on the World to Change,John Mayer
Phase 2 — Dinner,24,Sunday Candy,Donnie Trumpet & The Social Experiment
Phase 2 — Dinner,25,Tadow,Masego & FKJ
Phase 2 — Dinner,26,Let's Stay Together,Al Green
Phase 2 — Dinner,27,Bloom,The Paper Kites
Phase 2 — Dinner,28,Cherry Wine,Hozier
Phase 2 — Dinner,29,Lost in Japan,Shawn Mendes
Phase 2 — Dinner,30,La Vie en Rose,Louis Armstrong
Phase 2 — Dinner,31,Wildest Dreams,Ryan Adams (Taylor Swift cover)
Phase 4 — Dance Floor Opener,32,September,"Earth, Wind & Fire"
Phase 4 — Dance Floor Opener,33,I Wanna Dance with Somebody,Whitney Houston
Phase 4 — Dance Floor Opener,34,Uptown Funk,Mark Ronson feat. Bruno Mars
Phase 4 — Dance Floor Opener,35,Shut Up and Dance,Walk the Moon
Phase 4 — Dance Floor Opener,36,"Signed, Sealed, Delivered",Stevie Wonder
Phase 4 — Dance Floor Opener,37,Crazy in Love,Beyoncé feat. Jay-Z
Phase 4 — Dance Floor Opener,38,Mr. Brightside,The Killers
Phase 4 — Dance Floor Opener,39,Dancing Queen,ABBA
Phase 4 — Dance Floor Opener,40,Hey Ya!,OutKast
Phase 5 — Peak,41,Yeah!,Usher feat. Lil Jon & Ludacris
Phase 5 — Peak,42,Hot in Herre,Nelly
Phase 5 — Peak,43,Get Low,Lil Jon & The East Side Boyz
Phase 5 — Peak,44,Gold Digger,Kanye West feat. Jamie Foxx
Phase 5 — Peak,45,Hypnotize,The Notorious B.I.G.
Phase 5 — Peak,46,Jump Around,House of Pain
Phase 5 — Peak,47,One Dance,Drake feat. Wizkid & Kyla
Phase 5 — Peak,48,Levitating,Dua Lipa
Phase 5 — Peak,49,Blinding Lights,The Weeknd
Phase 5 — Peak,50,One More Time,Daft Punk
Phase 5 — Peak,51,Don't You Worry Child,Swedish House Mafia
Phase 5 — Peak,52,Titanium,David Guetta feat. Sia
Phase 5 — Peak,53,Wake Me Up,Avicii
Phase 5 — Peak,54,Pump It,The Black Eyed Peas
Phase 5 — Peak,55,I Gotta Feeling,The Black Eyed Peas
Phase 5 — Peak,56,Don't Stop Me Now,Queen
Phase 5 — Peak,57,You Shook Me All Night Long,AC/DC
Phase 5 — Peak,58,Livin' on a Prayer,Bon Jovi
Phase 5 — Peak,59,Sweet Child o' Mine,Guns N' Roses
Phase 5 — Peak,60,Everybody (Backstreet's Back),Backstreet Boys
Phase 5 — Peak,61,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock
Phase 5 — Peak,62,Sandstorm,Darude
Phase 6 — Late Set,63,Could You Be Loved,Bob Marley & The Wailers
Phase 6 — Late Set,64,Bam Bam,Sister Nancy
Phase 6 — Late Set,65,Boombastic,Shaggy
Phase 6 — Late Set,66,Temperature,Sean Paul
Phase 6 — Late Set,67,Get Ur Freak On,Missy Elliott
Phase 6 — Late Set,68,Return of the Mack,Mark Morrison
Phase 6 — Late Set,69,No Diggity,Blackstreet feat. Dr. Dre & Queen Pen
Phase 6 — Late Set,70,This Is How We Do It,Montell Jordan
Phase 6 — Late Set,71,Hey Jude,The Beatles
Phase 6 — Late Set,72,Wonderwall,Oasis
Phase 6 — Late Set,73,Sweet Caroline,Neil Diamond
Phase 6 — Late Set,74,Piano Man,Billy Joel
Last Call,75,Don't Stop Believin',Journey
Last Call,76,Closing Time,Semisonic
Reserve,,Valerie,Mark Ronson feat. Amy Winehouse
Reserve,,Cupid Shuffle,Cupid
Reserve,,Wobble,V.I.C.
Reserve,,Low,Flo Rida feat. T-Pain
Reserve,,SexyBack,Justin Timberlake
Reserve,,Since U Been Gone,Kelly Clarkson
Reserve,,Seven Nation Army,The White Stripes
Reserve,,Lean On,Major Lazer & DJ Snake feat. MØ
Reserve,,Stand by Me,Ben E. King
Reserve,,Feeling Good,Nina Simone
